name,source,link,description,full_description
IDENTIFY the problem you will address,Harvard,http://socialinnovation.ash.harvard.edu/innovators-toolkit,"You are committed to making real change in your community or in your field of work, but where do you start? Your first step is to identify and describe the problem you are trying to solve.","You are committed to making real change in your community or in your field of work, but where do you start? Your first step is to identify and describe the problem you are trying to solve."
(Re)defining the proposition,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,"For a new venture or service, this helps flesh out the core concept and articulate its benefits and characteristics more precisely. It links the benefits and experiences for individuals (e.g. users or beneficiaries) as well as the organisation or group organising the new offering.","For a new venture or service, this helps flesh out the core concept and articulate its benefits and characteristics more precisely. It links the benefits and experiences for individuals (e.g. users or beneficiaries) as well as the organisation or group organising the new offering."
A day in the life,MJV,http://designthinkingbook.co.uk/,It is a simulation by the researcher of the life of a person or situation under review,It is a simulation by the researcher of the life of a person or situation under review
A day in the life,This is Service Design Thinking,http://thisisservicedesignthinking.com/,Collates the research material pertaining to a particular type of customer in order to create a descriptive walkthrough of their typical daily activities,Collates the research material pertaining to a particular type of customer in order to create a descriptive walkthrough of their typical daily activities
Action Learning Sets,ODI,http://www.odi.org.uk/sites/odi.org.uk/files/odi-assets/publications-opinion-files/188.pdf,"made up of between six and eight people who meet together regularly over a reasonable time period and ‘present’ and collectively work on problems faced in ongoing practice. The group will then help the ‘presenter’ work on that problem through supportive but challenging questioning: encouraging a deeper understanding of the issues involved, a reflective reassessment of 
the ‘problem’, and an exploration of ways forward.","made up of between six and eight people who meet together regularly over a reasonable time period and ‘present’ and collectively work on problems faced in ongoing practice. The group will then help the ‘presenter’ work on that problem through supportive but challenging questioning: encouraging a deeper understanding of the issues involved, a reflective reassessment of 
the ‘problem’, and an exploration of ways forward."
Activity Map,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Activity map is used to map a typical day of your end-users. You develop a set of pictures illustrating the typical activities of a day. (You will have gained additional insight after following and observing, as well as deep dialogues.)Then your target group maps out their day and you will have a platform for dialogue, which can provide valuable insight in how value is created.","Activity map is used to map a typical day of your end-users. You develop a set of pictures illustrating the typical activities of a day. (You will have gained additional insight after following and observing, as well as deep dialogues.)Then your target group maps out their day and you will have a platform for dialogue, which can provide valuable insight in how value is created."
Actors Map,Roberta Tassi,http://www.servicedesigntools.org/tools/36,The ecology map is a graph representing the system of actors with their mutual relations. It provides a systemic view of the service and of its context.,The ecology map is a graph representing the system of actors with their mutual relations. It provides a systemic view of the service and of its context.
Add the touchpoints channels,Roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,"These channels will almost certainly include media channels such as print, e-mail, and a website, but they may also include people in the form of staff or other stakeholders","These channels will almost certainly include media channels such as print, e-mail, and a website, but they may also include people in the form of staff or other stakeholders"
Affinity diagram,NHS,http://www.institute.nhs.uk/quality_and_service_improvement_tools/quality_and_service_improvement_tools/identifying_problems_-_affinity_diagram.html#I,"Sometimes a brainstorming session can generate so many ideas that it can take a long time for the facilitator to order and analyse them. Affinity diagrams build the grouping and analysis process into the brainstorming session. It is particularly useful when collating a large volume of ideas, and also helps the group to feel that they own the grouping process.

The procedure builds upon brainstorming techniques. In addition to carrying out a ‘silent brainstorm', the group organises the material in meaningful groupings with appropriate headings.","Sometimes a brainstorming session can generate so many ideas that it can take a long time for the facilitator to order and analyse them. Affinity diagrams build the grouping and analysis process into the brainstorming session. It is particularly useful when collating a large volume of ideas, and also helps the group to feel that they own the grouping process.

The procedure builds upon brainstorming techniques. In addition to carrying out a ‘silent brainstorm', the group organises the material in meaningful groupings with appropriate headings."
Affinity diagram,MJV,http://designthinkingbook.co.uk/,"It is organizing and grouping insight cards based on affinities, similarities, dependency or proximiy, creating a chart containing the macro areas that mark the boundaries of the subject under consideration, its subdivisions and interdependencies","It is organizing and grouping insight cards based on affinities, similarities, dependency or proximiy, creating a chart containing the macro areas that mark the boundaries of the subject under consideration, its subdivisions and interdependencies"
Appreciative Inquiry,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,"a deeply explorative way of discovering information, by concentrating on the
positive experiences of the users: what are their best / strongest / most impressive experiences concerning a specific topic?","a deeply explorative way of discovering information, by concentrating on the
positive experiences of the users: what are their best / strongest / most impressive experiences concerning a specific topic?"
Ask - questioning the question,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,"The outcomes of this phase are:
• user insights (profiles, context, skills, needs) • a design brief (problem description,
proposition, requirements)
• opportunities (design direction, first ideas)
The main methodologies we use can be categorized as:
• Empathic Conversations
• Explorative Play
• Context Mapping","The outcomes of this phase are:
• user insights (profiles, context, skills, needs) • a design brief (problem description,
proposition, requirements)
• opportunities (design direction, first ideas)
The main methodologies we use can be categorized as:
• Empathic Conversations
• Explorative Play
• Context Mapping"
Assessment criteria,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Scoring individual ideas against common criteria in order to select ideas.,Scoring individual ideas against common criteria in order to select ideas.
Banned!,Giulia Piu,http://www.businessdesigntools.com/2012/03/banned/,Banned! is about imagining that something that now exists all of a sudden disappear from the world and imagining the impact that this will have on the surrounding world. This methodology allow to rethink completely everything surrounding what has been banned and generate loads of ideas in a small amount of time.,Banned! is about imagining that something that now exists all of a sudden disappear from the world and imagining the impact that this will have on the surrounding world. This methodology allow to rethink completely everything surrounding what has been banned and generate loads of ideas in a small amount of time.
Basic Question,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,a statement that defines the issue(s) the ID/OS analysis and planning process will address,a statement that defines the issue(s) the ID/OS analysis and planning process will address
